Review Text,Sentiment Label
excellent food great service,positive
amazing experience will come again,positive
delicious meals perfect,positive
fantastic restaurant highly recommend,positive
good quality fresh ingredients,positive
love the ambiance and staff,positive
perfect dining experience,positive
very satisfied with meal,positive
best restaurant in town,positive
outstanding service and food,positive
poor service slow,negative
bad food overpriced,negative
disappointing experience,negative
terrible waiter rude staff,negative
worst meal ever,negative
dirty restaurant unclean,negative
not worth the money,negative
avoid this place,negative
very disappointed,negative
awful taste bad quality,negative
ok food average service,positive
decent meal nothing special,positive
reasonable prices good portion,positive
friendly staff clean place,positive
tasty dishes nice atmosphere,positive
happy with the food,positive
good value for money,positive
pleasant dining,positive
satisfying meal,positive
nice experience,positive
slow service long wait,negative
food cold not fresh,negative
expensive small portions,negative
unfriendly staff,negative
boring menu limited options,negative
noisy environment,negative
average at best,negative
mediocre food,negative
not recommended,negative
dislike the taste,negative
uncomfortable seating,negative
